,Datetime,density_label,relation_label,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
30,2022-03-29 16:40:53+00:00,,0,#MLMblog The top secret method of having endless traffic https://t.co/ppeEK12dwT https://t.co/iRNVWQP9p3,TheWealthZone,"New York, NY",0,0,0
31,2022-03-29 16:39:16+00:00,0,1,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,511NY,New York State,0,0,0
32,2022-03-29 16:38:31+00:00,,0,"The break has shifted more than $2 billion in assessed valuation to owners of existing homes, but “pretty much saved the construction industry in Nassau County.”
https://t.co/ebKRjlJE4U",trdny,"New York, New York",0,0,0
33,2022-03-29 16:37:13+00:00,,0,"Have you visited the Willoughby Open Street in Fort Greene, #Brooklyn since the implementation of traffic calming treatments in December 2021? We want your feedback! Complete the survey by Friday, April 15th, 2022: https://t.co/T7xZZXwkCq. https://t.co/EUQq36AyI4",NYC_DOT,New York City,1,10,2
34,2022-03-29 16:33:51+00:00,,0,Construction Company Owner Charged with Felony After Alleged Repeat Workers’ Compensation Violations https://t.co/B1KcPnh2JO,FromTheGMan1,"Harlem, New York",0,0,0
35,2022-03-29 16:30:00+00:00,,0,City dismantles homeless encampment under the Brooklyn-Queens Expressway https://t.co/H6i5bsTjrS via @NY1,nys_health,New York,0,0,0
36,2022-03-29 16:27:01+00:00,,0,"NYPD increases police presence in Queens’ 104th Precinct in effort to crack down on traffic, parking violations – QNS NYC https://t.co/gq5VYLpeY9",RetiredNYCPD,NEW YORK,0,2,1
37,2022-03-29 16:24:13+00:00,,0,"@stf1129 @621ljp @Tyler82662373 @GeoYTB_ @iFireMonkey it’s easy to accept it, it’s just annoying when said players build the empire state building in under 2 seconds when shot once. mfs have construction degrees in a game rather than getting laid.",jkxtsopolis,Downtown,1,4,0
38,2022-03-29 16:22:34+00:00,2,1,UPDATE BUFFALO: Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic.,ThruwayTraffic,New York,0,1,1
39,2022-03-29 16:20:53+00:00,,0,@UrbanJerseyGuy @SafeStreetsJC This exact scenario: Helped a woman in a wheelchair in downtown JC cross the street because cars weren't stopping for her. She's in a wheelchair because she was hit after getting off a bus that didn't stop at the curb. Traffic violence is truly the gift that never stops taking.,jimmybot,"Jersey City, NJ",1,1,0
40,2022-03-29 16:18:47+00:00,,0,"@vonKraush Excuse me, it’s called French Toast bakery. South side of Roosevelt avenue just before you cross the expressway into Jackson Heights/Elmhurst",chorizanthe,NYC,1,1,0
41,2022-03-29 16:15:43+00:00,0,0,Anyone have that video or photo of woman walking/ twirling in a red dress through traffic?,sm_tsm_t,"New York, NY",2,3,0
42,2022-03-29 16:15:29+00:00,,0,"RDTC/RDWY/YRCA updated points, terminals, and transits available.",ar_traffic,"New York, NY, USA",0,0,0
43,2022-03-29 16:15:12+00:00,,0,"HMES/NPME/RETL updated points, terminals, and transits available.",ar_traffic,"New York, NY, USA",0,0,0
44,2022-03-29 16:15:00+00:00,,0,"Last September, WNC closed three other LIHTC funds to support the construction or renovation of more than 2,300 affordable housing units across several states. @WNC_Inc 
https://t.co/0cpf9deVLx",MHNonline,"New York, NY",0,0,0
45,2022-03-29 16:13:29+00:00,2,1,"MATOC: Road Closure. George Washington Parkway SB before VA-123. Fairfax County, VA. All lanes are blocked. Southbound traffic is being turn around into Northbound lanes, follow police directions in the area. Delays are building.",PS_Enterpr,New York,0,0,0
46,2022-03-29 16:13:28+00:00,2,1,"MATOC: UPDATE: Tractor Trailer Crash with Injury. I-95 NB before MD-216 (Exit 35). PG Co, MD.  All lanes NB remain blocked. Traffic is being turned around to southbound lanes, follow police direction in area. NB delays begin before MD-200. SB lanes open with delays appx 1.5 miles",PS_Enterpr,New York,0,0,0
47,2022-03-29 16:13:21+00:00,,0,"2022 Women in Construction: Andrea Steele, Andrea Steele Architecture - Read More here: https://t.co/R6Bztg50Op #NYREJ #commercialrealestate #WIC22 https://t.co/LFyavefFJa",NYREJ,"New York, NY",0,0,0
48,2022-03-29 16:13:06+00:00,,0,"@realTuckFrumper The Yankees, Mets, Giants and Jets organizations completely funded the construction of their new stadiums, why is Buffalo’s ownership not held to the same standard. Taxpayers shouldn’t be funding a stadium for 10 games a year for the next 30 years.",briannolan91,"New York, USA",0,0,0
49,2022-03-29 16:11:48+00:00,,0,@Nintenlo Yeah I’m not a fan of him or him in battle. Voting be like “help the old lady cross the street normally” or “destroy all oncoming traffic to help the lady cross the street” and he’s always the latter haha,LuLuCatcher,New York,0,1,0
50,2022-03-29 16:06:12+00:00,2,1,"So, despite on the overnight construction with all deal with as well as the weekend inconveniences, there is still a broken rail it’s taken us 5-9 minutes to go from 125th Street to 116th. One station!  @NYCTSubway @MTA @Derrick_NYC #MTA",mfrick100,New York City,0,0,0
51,2022-03-29 16:04:12+00:00,,0,"Anthony Gaenzle specialized on growing brands. He is author of Blogging for Business: Skyrocket Your Traffic, Grow Your Readership, and Boost Revenue https://t.co/b3fBDtpN5p #vcbuzz",vcbuzz,"Houston, New York",0,2,1
52,2022-03-29 16:03:57+00:00,,0,"@IlNMRlI @wtf1official What are you even talking about? I was talking about safety concerns about track layout, barrier construction, etc. I wasn’t making a political statement, nor was I even directly referring to Jeddah.",Miles_Joseph10,"New York, USA",2,0,0
53,2022-03-29 16:00:05+00:00,,0,"Why do companies peer?
✔️ To save money by reducing connectivity costs.
✔️ It’s more efficient and increases performance.
✔️ Lower latency with faster, more direct data flow.
✔️ Greater control over their traffic

Learn more here: https://t.co/nFhKS8YS79 https://t.co/hwo6C4DGq9",TELEHOUSE,"New York, NY",0,0,0
54,2022-03-29 15:54:52+00:00,1,1,Construction on #BEEKMANST WB at NASSAU ST https://t.co/G32DHpTyIo,511NY,New York State,0,0,0
55,2022-03-29 15:54:26+00:00,,0,"(6/8)""“What you have come to understand as ‘Will Smith,’ the alien-annihilating MC, the bigger-than-life movie star, is largely a construction — a carefully crafted and honed character — designed to protect myself. To hide myself from the world. To hide the coward.”""",becauseibledsoe,New York City,1,0,0
56,2022-03-29 15:52:42+00:00,1,1,Construction on #BEEKMANST WB from NASSAU ST to PARK ROW https://t.co/wICRNYGRnu,511NY,New York State,0,0,0
57,2022-03-29 15:50:57+00:00,1,1,Construction on #BEEKMANST WB from WILLIAM ST to NASSAU ST https://t.co/5eD8pdOYEK,511NY,New York State,0,0,0
58,2022-03-29 15:50:10+00:00,,0,"You think US gas prices are high? ⛽️ 
It’s $8.00 per gallon in Europe, traffic the same 🤷🏼‍♀️

At what price traffic decreases?",mansfashions,Republic of Slovenia,0,0,0
59,2022-03-29 15:41:15+00:00,,0,"In this traffic plan is the diversity among accomplishment and lack of success, product will be here https://t.co/sRnolZ8W4C https://t.co/7so4UZMBOF",TheWealthZone,"New York, NY",0,0,0
60,2022-03-29 15:40:31+00:00,1,1,Construction on #BEEKMANST NB from GOLD ST to WILLIAM ST https://t.co/aH35iHDUh8,511NY,New York State,0,0,0
61,2022-03-29 15:40:03+00:00,,0,"NYPD increases police presence in Queens' 104th Precinct in effort to crack down on traffic, parking violations – https://t.co/FmeWixYXhy - https://t.co/FmeWixYXhy https://t.co/GUOmK2rXQg",NYPDbot,"New York, NY",0,0,0
62,2022-03-29 15:36:36+00:00,,0,"@THE_HORNY_TOON @MadernsWrath Lol. Porn is still one of the largest markets on torrent sites, it would just explode in traffic. Good luck shutting down a file I can get from a country with no extradition agreement.",foul_succubus,"West Village, Manhattan",0,0,0
63,2022-03-29 15:34:33+00:00,1,1,Construction on #E74THST EB from 2ND AVE to 1ST AVE https://t.co/q2s7TC6p7E,511NY,New York State,0,0,0
64,2022-03-29 15:34:03+00:00,,0,Drank way too much caffeine. Need to play warzone. Something high octane. Maybe biking in and out of traffic,fmgallery,"New York, USA",0,1,1
65,2022-03-29 15:30:44+00:00,0,1,"Accident cleared in #Brooklyn:OnTheB.Q.E. on I-278 (BQE) WB approaching Wythe Ave/Kent Ave/x31 (WB), stopped traffic back to The L.I.E./I-495/x35 #traffic https://t.co/cLJ9IKsg5n",TotalTrafficNYC,New York City & New Jersey,0,0,0
66,2022-03-29 15:30:00+00:00,,0,"A car accident rocks a tight-knit community on #Dateline: Unforgettable, tonight 8/7c. Will you be watching? https://t.co/bZ2WUpHUyU",oxygen,"New York, NY",3,9,0
67,2022-03-29 15:28:43+00:00,1,1,Construction on #E54THST EB from LEXINGTON AVE to 3RD AVE https://t.co/9tEjtRAc1s,511NY,New York State,0,0,0
68,2022-03-29 15:28:13+00:00,1,1,@ScottReads1 10 minutes in LA traffic? Consider it done.,SorgxSorg,"New York, NY",1,0,0
69,2022-03-29 15:28:01+00:00,,0,"@J_D_Photo_CO @fleck_margaret So lovely.
My 1st time in Pacific NW, I couldn't believe it when I saw one on the passenger's side mirror caught up in traffic in Mt. Ranier NP.
Still feel that thrill.",NickNamerly,"New York, USA",0,1,0
70,2022-03-29 15:25:55+00:00,,0,"1/2 I was patient and refreshing site every second and it load around 11:03. I do have to address some of the issues, first is the release time. It was a 3 minutes delay, but in my knowledge this is Veefriends first public merch drop and we expect a high traffic.",EastTimesNFT,"New York, NY",0,0,0
71,2022-03-29 15:24:37+00:00,,0,Please let me display knowledgeable remedies which will compose amazing resource of targeted traffic https://t.co/LHxYZadTn9,TheWealthZone,"New York, NY",0,0,0
72,2022-03-29 15:22:34+00:00,1,1,Construction on #E53RDST WB from 3RD AVE to LEXINGTON AVE https://t.co/h6kxwJvuqF,511NY,New York State,0,0,0
73,2022-03-29 15:21:20+00:00,,0,"#construction 

Check out @CPWR's tips on how to stay safe when stationed in a #workzone. via @safetyhealthmag
https://t.co/vY2iA0Vqhf",StarrCompanies,"New York, NY",0,1,2
74,2022-03-29 15:19:30+00:00,,0,"Men's Underwear Index and Recession: What Can Foot Traffic Predict?

Click below to find out!!

https://t.co/uLM0i3KZA0

#Unacast #locationdata #mobilitydata #analytics #datascience #research #underwear #mensclothing #retail #retailtech #predictiveanalytics #forecasting #future",Unacast,"New York, USA",0,0,1
75,2022-03-29 15:16:09+00:00,,0,"A new report from @NYUSternBHR describes the plight of migrant construction workers in Qatar, most of whom pay their own recruitment fees. As host of this year’s @FIFAWorldCup , the government needs to reform its labor practices: https://t.co/pVp03yUsdF",mikehposner,"New York, NY",0,1,0
76,2022-03-29 15:16:08+00:00,,0,"As the World Cup approaches later this year, the government of Qatar needs to reform its labor system and enhance protections for migrant construction workers. Here is my view drawing on a new report from our Center via @Forbes: https://t.co/PDbuFAoTC0",mikehposner,"New York, NY",1,2,0
77,2022-03-29 15:14:29+00:00,,0,This is a photo of when I used to work security at the 911 Memorial &amp; Museum construction site at ground zero in Manhattan. I used to pick away at writing during my breaks 😎 https://t.co/IHenCT5td1 https://t.co/bzYTU7slvU,RaymondNegron10,"New York, USA",0,0,0
78,2022-03-29 15:12:35+00:00,1,1,Construction on #3RDAVE EB from 33RD ST to 30TH ST https://t.co/2SHNsEatoI,511NY,New York State,0,0,0
79,2022-03-29 15:11:38+00:00,,0,@jmp_nyc @ScottHech Residential construction in NYC is the swamp that bred the Trumps.,FedRCivP11,NYC,1,0,0
80,2022-03-29 15:10:39+00:00,1,1,"CLEARED BUFFALO: CRASH: WB ON I-90 EXIT 48A-EXIT 49: LEFT LANE BLOCKED: Incident clear, delays may exist.",ThruwayTraffic,New York,0,0,0
81,2022-03-29 15:10:15+00:00,1,1,That’s definitely gonna help the traffic on the BQE 🥴😒 https://t.co/FMBC9Sdahg,everettb_,"New York, USA",0,1,0
82,2022-03-29 15:09:58+00:00,,0,"We put out a report about construction safety in NYC, and it includes the nine fatal worker incidents. We didn’t include names out of the respect for families, but we did name the contractors, who are legally responsible for the safety of their workers. https://t.co/GFqJhpy9he",AndrewRudansky,NYC,1,1,0
83,2022-03-29 15:08:42+00:00,,0,"If Garland weren't do anything we would've seen resignations by now like in NYC for that fraud suspicious DA. 
Grow up. This isn't a traffic ticket, it's the single biggest case in US with tons of implications  domestic terrorism wise elections wise etc https://t.co/kmxnmCSbpf",newkingofmedia,NYC,0,0,0
84,2022-03-29 15:08:38+00:00,,0,"Almost always these workers are men, 20s to 40s, many from one of the immigrant enclaves here in NYC, many acting as the primary breadwinner for their families. Nine New Yorkers died in building construction-related incidents last year, and it is never not gut wrenching horrible.",AndrewRudansky,NYC,1,0,0
85,2022-03-29 15:08:14+00:00,,0,"@itsJeffTiedrich If Garland weren't do anything we would've seen resignations by now like in NYC for that fraud suspicious DA. 
Grow up this isn't a traffic ticket, it's the single biggest case in US with tons of implications  domestic terrorism wise elections wise etc",newkingofmedia,NYC,0,0,0
86,2022-03-29 15:07:59+00:00,,0,"One of the worst parts about my job is when we get news that a construction worker has died. It usually happens that we get a call from @FDNY or the foreman that a worker has fallen and was rushed to the hospital. Inspectors get routed, &amp; back in the office we wait for updates.🧵",AndrewRudansky,NYC,1,1,0
87,2022-03-29 15:07:48+00:00,1,1,Yessir but why 🤷🏻‍♂️ Got caught in too many bumber to bumper traffic jams in ny to enjoy it anymore https://t.co/TQGAZ3YUUb,NYROYALKING,Peoples Republic of New York,0,0,0
88,2022-03-29 15:07:06+00:00,,0,"It’s National #MomandPopBusinessOwnersDay! Many of our favorite local mom-and-pop shops have served our communities for years and depend on foot traffic. Without these vital small businesses, our neighborhoods would lose their vibrant character &amp; history. Remember to #shoplocal https://t.co/UTxse0qdzY",JulieMenin,"New York, NY",0,2,2
89,2022-03-29 15:06:56+00:00,,0,aaand i'm done reminiscing and being emotional~ there's construction going on outside and i am sandwiched between two pillows to try drowning out the noise,bernaplandano,"New York, NY",0,0,0
90,2022-03-29 15:04:52+00:00,,0,"@Gloshtagz1 Don't step in a yellow box at any junction..Its risky

To make a turn,you have to make sure your is clear. if everybody is following the rules,traffic flow is👌",AgabaOnesmas,"New York, NY",0,0,0
91,2022-03-29 15:03:21+00:00,,0,"How do the top law firms garner so much social media traffic?

Click below to watch the 2021 Social Law Firm Index Webinar and learn their tips and tricks. 📺

https://t.co/qlEwOV9rIk

#legamarketing #SMM https://t.co/0O5UH9kuTt",good2bsocial,"New York, NY",0,0,0
92,2022-03-29 15:02:36+00:00,0,1,Construction on #LLine Both directions from 8 Av to Canarsie - Rockaway Pkwy https://t.co/2trhWBY75G,511NY,New York State,0,0,0
93,2022-03-29 15:02:36+00:00,0,1,Construction on #LLine Both directions from 8 Av to Canarsie - Rockaway Pkwy https://t.co/5IAG4I9kDh,511nyLS,New York City,0,0,0
94,2022-03-29 15:02:24+00:00,,0,"@shvetaraju I mean you could take the core features of working from the office and frame them just as skeptically.

""Wake up, put on a suit, drive an hour in traffic, sit at a cubicle, make small talk in the break room, drive home after dark, eat dinner, sleep, repeat for 30 years?""",FinchTH,"New York, NY",1,10,1
95,2022-03-29 15:00:17+00:00,,0,"even as the larger company was constantly shapeshifting, for the first years i was there, BuzzFeed News felt like an oasis of calm, doubly so for the World desk

we didn’t have to chase traffic. we just had to connect to readers.

but in the words of a poet: “It was all a dream” https://t.co/bqHhtZ2IVk",HayesBrown,"New York, NY",1,25,5
96,2022-03-29 15:00:15+00:00,,0,Following your heart could lead you to amazing places at this ... More for Virgo https://t.co/7bejl28ZbI,Ty_ThaDREAM,"New York, NY",0,0,0
97,2022-03-29 14:55:56+00:00,,0,Lou Coletti President of New York’s @BTEANY published an OPED in @CrainsNewYork on how to get more New Yorkers back to work and get the construction and real estate industry strong again.  https://t.co/VvIO8xSwEs,ButlerPR,"New York, NY",0,0,0
98,2022-03-29 14:55:37+00:00,,0,@local79nyc apprentices are setting up to celebrate women in construction tonight! https://t.co/ND7X7nNg36,LaborersFight,"New York, NY",0,4,2
99,2022-03-29 14:54:28+00:00,,0,"Construction Update: We are about a month away from completing construction of school #18! We look forward to welcoming students to the CEB José Nahum Calix 
• Location: Marcovia, Choluteca
• 9 classrooms/6 bathrooms 
• Number of students: 214
• Grades: 1st grade - 9th grade https://t.co/vvSSN4kjI2",FEIHonduras,New York City,2,30,8
100,2022-03-29 14:52:37+00:00,1,1,Construction on #W16THST EB from 10TH AVE to 9TH AVE https://t.co/XR6vTSpVYS,511NY,New York State,0,0,0
101,2022-03-29 14:44:01+00:00,2,1,"@WMSBG RT @WINSTRAFFICNYC horrible truck car accident BQE, FDNY arrived",Eugene646,"New York, NY",0,0,0
102,2022-03-29 14:43:34+00:00,,0,Huge power wipes out traffic lights and electricity across the Capital - https://t.co/vJbn1u2ATh,WitnessDaily_,"New York, NY",0,0,0
103,2022-03-29 14:41:00+00:00,,0,@mozthunderbird Where is the preview graphic stuff stored? Does Twitter get the traffic/tracking information from every recipient that reads the email or is the data imported only on the sender's side and sent like an attachment to recipients?,adamzea,New York,0,0,0
104,2022-03-29 14:38:38+00:00,,0,#NetworkMarketingLeads Duplicate the best reliable generating traffic moves to obtain never-ending potential team members to quickly get in touch with concerning any home business enterprise https://t.co/apcK06Ol6W https://t.co/SA74HNlDUK,TheWealthZone,"New York, NY",0,0,0
105,2022-03-29 14:38:02+00:00,2,1,UPDATE BUFFALO: Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic,ThruwayTraffic,New York,0,0,0
106,2022-03-29 14:35:43+00:00,2,1,"Accident. Two lanes blocked in #Brooklyn:OnTheB.Q.E. on I-278 (BQE) WB approaching Wythe Ave/Kent Ave/x31 (WB), stopped traffic back to The L.I.E./I-495/x35 #traffic https://t.co/cLJ9IKsg5n",TotalTrafficNYC,New York City & New Jersey,0,0,0
107,2022-03-29 14:31:01+00:00,,0,i need a vacation or imma jump into traffic soon …,_______beaut,NYC,0,0,0
108,2022-03-29 14:27:00+00:00,1,1,".⁦@hatzalah⁩ ⁦@NYPD90Pct⁩ and ⁦@FDNY⁩ are on scene on the BQE Westbound under Lee Ave, for a accident involving a truck, expect traffic in the area. https://t.co/UQPoswJGb9",WMSBG,"Williamsburg, Brooklyn, NYC",2,1,2
109,2022-03-29 14:24:03+00:00,1,1,BUFFALO: Delays: WB on I-90 exit 48A-exit 49: Slow traffic,ThruwayTraffic,New York,0,0,0
110,2022-03-29 14:23:36+00:00,2,1,The traffic is freaking hectic in #Guayaquil this morning smh,jcparraluces,New York City,0,0,0
111,2022-03-29 14:22:29+00:00,2,1,Incident on #I278 EB at Exit 39 - Queens Midtown Expressway https://t.co/eOCz1nGJUk,511NY,New York State,0,0,0
112,2022-03-29 14:21:56+00:00,,0,"“The housing market did fare worse than construction, with revenues and sales growth slowing despite better prices.” @ChinaBeigeBook @CNBC https://t.co/ZXxhgVdDUP",shehzadhqazi,New York City,0,2,1
113,2022-03-29 14:18:28+00:00,,0,"Construction can be a form of harassment—when noise, vibration, dust and destruction make it impossible to live in your apartment. Learn about your rights at our monthly housing clinic with @GRLawProject @TakerootNYC and @galeabrewer April 6 at 6 pm. https://t.co/IUzZOtXtN5",GoddardRiv,"New York, NY",0,5,4
114,2022-03-29 14:18:22+00:00,,0,#SocialMedia #Webinar Follow these influential traffic developing moves to receive never-ending prospective buyers to impatiently get in touch with regarding any network marketing business https://t.co/LCeKisH6YS https://t.co/V7lHcxgZWG,TheWealthZone,"New York, NY",0,0,0
115,2022-03-29 14:17:13+00:00,,0,"Beautiful sunrise over Williamsburg, Brooklyn. Good Morning☀️from under the Brooklyn Queens Expressway 
@ABC7NY @KenRosatoABC7 @ShirleenAllicot @SamChampion @heatherorourke7 @BrittanyBabc7 @JeffSmithABC7 @LeeGoldbergABC7 https://t.co/2SWKp3KIok",ChanteeLans,"New York, NY",0,4,0
116,2022-03-29 14:16:38+00:00,1,1,"The officer is directing traffic at the intersection.
警官が交差点で交通整理をしている。 #爆笑英会話",NewYorkets,"Manhattan, NY",0,0,0
117,2022-03-29 14:14:28+00:00,,,📽️: Find out how DDC used microtunneling to install an 85-inch combined sewer under Queens Boulevard at 69th Street in Woodside — without halting the 6 lanes of traffic above ground. https://t.co/eW7MoWfdV8,NYCDDC,New York City,0,1,0
118,2022-03-29 14:12:37+00:00,0,1,No traffic my niggas be there in 3 mins,MikeFromQueeens,"Queens, New York",0,0,0
119,2022-03-29 14:09:14+00:00,2,1,BUFFALO: Crash: WB on I-90 exit 48A-exit 49: Left lane blocked,ThruwayTraffic,New York,0,0,0
120,2022-03-29 14:05:56+00:00,,0,"2022 Women in Construction: Kenne Shepherd, Kenne Shepherd Interior Design Architecture PLLC - Read More here: https://t.co/Mfla6b659d #NYREJ #commercialrealestate #WIC22 @KenneShepherd https://t.co/xCINvViLB1",NYREJ,"New York, NY",0,0,0
121,2022-03-29 14:05:54+00:00,0,1,"CLEARED BUFFALO: Crash: WB on I-90 at exit 51: Right lane blocked: Incident clear, traffic normal.",ThruwayTraffic,New York,0,0,0
